path,currentColumn,suggestedColumn,problemType,bodyChange,metadataChange,visualMigration,risk
knowledge/topics/avoid-cracking-warping.html,探索柚木,探索柚木,说明书式知识页,yes,no,yes,medium
knowledge/topics/before-buying-teak-basics.html,探索柚木,探索柚木,基础认知层级偏平,yes,no,yes,low
knowledge/topics/brand-or-factory.html,探索柚木,探索柚木,旧厂商判断语境,yes,review,yes,medium
knowledge/topics/clear-teak-description.html,探索柚木,探索柚木,正文堆叠,yes,no,yes,low
knowledge/topics/flooring-fit-space.html,探索柚木,探索柚木,空间与知识边界交叉,yes,no,yes,medium
knowledge/topics/flooring-vs-furniture-craft.html,探索柚木,探索柚木,工艺信息层级不足,yes,no,yes,low
knowledge/topics/is-teak-always-expensive.html,探索柚木,探索柚木,价格表达需保守,yes,review,yes,high
knowledge/topics/not-only-color-photo.html,探索柚木,探索柚木,正文堆叠,yes,no,yes,low
knowledge/topics/outdoor-teak-judgement.html,探索柚木,探索柚木,与生活场景内容重叠,yes,no,yes,medium
knowledge/topics/outdoor-teak-maintenance.html,探索柚木,探索柚木,连续白卡与跳转页感,yes,no,yes,low
knowledge/topics/questions-before-vendor.html,探索柚木,探索柚木,旧供应商语境,yes,review,yes,medium
knowledge/topics/tea-room-teak-space.html,探索柚木,柚木美学,知识与空间栏目错位,yes,review,yes,medium
knowledge/topics/teak-aging-color.html,探索柚木,探索柚木,正文堆叠,yes,no,yes,low
knowledge/topics/teak-authenticity-basic.html,探索柚木,探索柚木,绝对判断风险,yes,review,yes,high
knowledge/topics/teak-bathroom-balcony.html,探索柚木,探索柚木,场景判断层级不足,yes,no,yes,medium
knowledge/topics/teak-buying-pitfalls.html,探索柚木,探索柚木,选购信息卡片化,yes,no,yes,medium
knowledge/topics/teak-color-change.html,探索柚木,探索柚木,正文堆叠,yes,no,yes,low
knowledge/topics/teak-daily-cleaning.html,探索柚木,探索柚木,长文节奏单一,yes,no,yes,low
knowledge/topics/teak-drying-process.html,探索柚木,探索柚木,工艺信息需图示,yes,no,yes,medium
knowledge/topics/teak-flooring-daily-care.html,探索柚木,探索柚木,维护内容重复,yes,no,yes,low
knowledge/topics/teak-home-spaces.html,探索柚木,柚木美学,栏目语义偏空间,yes,review,yes,medium
knowledge/topics/teak-joinery-surface.html,探索柚木,探索柚木,工艺判断层级不足,yes,no,yes,low
knowledge/topics/teak-kids-pets-home.html,探索柚木,探索柚木,生活场景边界需强化,yes,no,yes,medium
knowledge/topics/teak-oil-stability.html,探索柚木,探索柚木,性能表达需保守,yes,review,yes,high
knowledge/topics/teak-origin-basic.html,探索柚木,探索柚木,产地表达需避免单因果,yes,review,yes,high
knowledge/topics/teak-price-difference.html,探索柚木,探索柚木,价格表达需保守,yes,review,yes,high
knowledge/topics/teak-vs-common-wood-basic.html,探索柚木,探索柚木,比较结论需边界,yes,review,yes,high
knowledge/topics/teak-vs-walnut.html,探索柚木,探索柚木,比较结论需边界,yes,review,yes,high
knowledge/topics/what-is-teak.html,探索柚木,探索柚木,长文缺少阅读层级,yes,no,yes,low
knowledge/topics/whole-decoration-fit-home.html,探索柚木,柚木美学,知识与空间栏目交叉,yes,review,yes,medium
knowledge/topics/why-teak-for-home.html,探索柚木,探索柚木,材料优势表述偏泛,yes,review,yes,medium
cases/courtyard-teak-sample.html,柚木美学,柚木美学,图片节奏不足,yes,no,yes,medium
cases/flooring-selection-sample.html,柚木美学,柚木美学,案例卡片化,yes,no,yes,medium
cases/tea-room-teak-sample.html,柚木美学,柚木美学,图片节奏不足,yes,no,yes,medium
solutions/flooring.html,柚木生活,柚木美学,栏目语义偏空间,yes,review,yes,medium
solutions/furniture.html,柚木生活,柚木美学,栏目语义偏空间,yes,review,yes,medium
solutions/tea-room.html,柚木生活,柚木美学,栏目语义偏空间,yes,review,yes,medium
solutions/whole-decoration.html,柚木生活,柚木美学,栏目语义偏空间,yes,review,yes,high
solutions/goods/aged-teak-flooring.html,柚木生活,柚木生活,白卡资料页感,yes,no,yes,medium
solutions/goods/aged-teak-timber.html,柚木生活,柚木生活,旧料事实边界,yes,review,yes,high
solutions/goods/hotel-teak-floor.html,柚木生活,柚木生活,非真实案例误读风险,yes,review,yes,high
solutions/goods/old-teak-carving.html,柚木生活,柚木生活,收藏信息边界,yes,review,yes,high
