articlePath,url,title,section,articleType,articleLength,currentMainImage,currentInlineImages,imageSourceType,imageUsageCount,exactDuplicateUsageCount,perceptualDuplicateGroup,semanticTopic,semanticImageDescription,semanticMatchScore,misleadingRisk,needsReplacement,needsInlineImage,recommendedImageConcept,recommendedAction,beforeMainImage,beforeSemanticMatchScore,imageChanged,fileHash
articles/how-to-choose-teak-flooring.html,https://www.zhengmu.cn/articles/how-to-choose-teak-flooring.html,如何选择柚木地板,articles,C_SELECTION_JUDGMENT,893,assets/images/article-teak-flooring-selection.jpg,,generated_editorial_v133,3,3,NONE,flooring-selection,自然光下比较木地板样板的选材示意,4,NONE,false,false,flooring-selection,KEEP_VALIDATED_FINAL,assets/images/article-teak-flooring-selection.jpg,3,false,2080bc1e94a4d9c34c91c590e0e9b5feed72966f8873b39e1d5445078bafb17a
articles/teak-outdoor-furniture-care.html,https://www.zhengmu.cn/articles/teak-outdoor-furniture-care.html,户外柚木家具维护,articles,D_USE_AND_CARE,858,assets/images/article-teak-outdoor-care.jpg,,generated_editorial_v133,3,3,NONE,outdoor-care,雨后户外木质座椅与日常维护工具示意,4,NONE,false,false,outdoor-care,KEEP_VALIDATED_FINAL,assets/images/article-teak-outdoor-care.jpg,3,false,d6da9157e2bf11a5fdd7fceec9dafe4d657a49601fd6aee659d56211ca3808ad
articles/teak-vendor-selection.html,https://www.zhengmu.cn/articles/teak-vendor-selection.html,厂商选择参考,articles,C_SELECTION_JUDGMENT,852,assets/images/article-teak-vendor-evaluation.jpg,,generated_editorial_v134,3,3,NONE,vendor-evaluation,木作样板、接合细节和空白核对清单的服务方评估示意,4,NONE,false,false,vendor-evaluation,KEEP_VALIDATED_FINAL,assets/images/article-teak-joinery-craft.jpg,2,true,6941a06d2545df0d7e1350aa728c207610ed1e98b3a8620616b1d5abab52105b
articles/teak-vs-common-wood.html,https://www.zhengmu.cn/articles/teak-vs-common-wood.html,柚木与常见木材,articles,A_MATERIAL_KNOWLEDGE,846,assets/images/knowledge-teak-grain.jpg,,existing_site_asset,3,3,NONE,material-comparison,不同木材纹理与端面特征的比较示意,4,NONE,false,false,material-comparison,KEEP_VALIDATED_FINAL,assets/images/article-teak-material-study.jpg,3,true,e8e1936443775e30befef31b247b9228e99701d68b427c65910456f19dd8862f
articles/teak-whole-decoration-guide.html,https://www.zhengmu.cn/articles/teak-whole-decoration-guide.html,柚木整装指南,articles,A_MATERIAL_KNOWLEDGE,812,assets/images/hero-teak-lifestyle.jpg,,existing_site_asset,3,3,NONE,whole-interior,木质家具与自然光室内空间参考,3,NONE,false,false,whole-interior,KEEP_VALIDATED_FINAL,assets/images/hero-teak-lifestyle.jpg,3,false,d47ba98d42500365d49870fe7d20b18339b2ffad737bf0bdbcec69318cb1f6fa
articles/what-is-teak.html,https://www.zhengmu.cn/articles/what-is-teak.html,什么是柚木,articles,A_MATERIAL_KNOWLEDGE,969,assets/images/article-teak-material-study.jpg,,generated_editorial_v133,3,3,NONE,material-basics,柚木板材、木纹与叶片的材料观察示意,4,NONE,false,false,material-basics,KEEP_VALIDATED_FINAL,assets/images/article-teak-material-study.jpg,3,false,262128f8034444b108475f9e1e2f8e2ccea5adbee9caadb394202dba02784316
cases/courtyard-teak-sample.html,https://www.zhengmu.cn/cases/courtyard-teak-sample.html,庭院柚木空间灵感,cases,H_CASE_SCENE_REFERENCE,585,assets/images/knowledge-outdoor-wood.jpg,,existing_site_asset,3,3,NONE,outdoor-material,户外木材在自然环境中的使用参考,3,NONE,false,false,outdoor-material,KEEP_VALIDATED_FINAL,assets/images/knowledge-outdoor-wood.jpg,3,false,1360e7b020e616a0962a4afbae23eb64b9172fcc06559e577b95076afe3f0aef
cases/flooring-selection-sample.html,https://www.zhengmu.cn/cases/flooring-selection-sample.html,柚木地板选择灵感,cases,H_CASE_SCENE_REFERENCE,676,assets/images/vendor-showroom-sample.jpg,,existing_neutral_brand_context,3,3,NONE,flooring-and-brand-context,中性展厅与材料陈列环境示意,3,NONE,false,false,flooring-and-brand-context,KEEP_VALIDATED_FINAL,assets/images/vendor-showroom-sample.jpg,3,false,07ef9ddb697879fe23620cd5d4efaddd94e23b2c6ea710310bfb5219b8080a7e
cases/tea-room-teak-sample.html,https://www.zhengmu.cn/cases/tea-room-teak-sample.html,茶室柚木空间灵感,cases,H_CASE_SCENE_REFERENCE,574,assets/images/article-teak-tea-room-materials.jpg,,generated_editorial_v134,3,3,NONE,tea-room-materials,茶桌、坐席与木质材料关系的茶空间参考示意,4,NONE,false,false,tea-room-materials,KEEP_VALIDATED_FINAL,assets/images/hero-teak-lifestyle.jpg,3,true,77fb93aff60cf4c2b1a916446366fed8490fbc665a19469ac6a4f437c71b24bd
knowledge/teak-basics.html,https://www.zhengmu.cn/knowledge/teak-basics.html,柚木入门,knowledge,A_MATERIAL_KNOWLEDGE,328,assets/images/article-teak-material-study.jpg,,generated_editorial_v133,3,3,NONE,material-basics,柚木板材、木纹与叶片的材料观察示意,4,NONE,false,false,material-basics,KEEP_VALIDATED_FINAL,assets/images/article-teak-material-study.jpg,3,false,262128f8034444b108475f9e1e2f8e2ccea5adbee9caadb394202dba02784316
